#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#At. num| Sp. Name      | Ion Charge | El. Name   | Isoel. Seq. | Ground Shells (a) | Ground Level | Ionized Level     |      Ionization Energy (b) (eV)       | References
#-------|---------------|------------|------------|-------------|-------------------|--------------|-------------------|---------------------------------------|-------------------
     19 | K IX          |         +8 | Potassium  | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |          [175.8174(25)]               |             L4344
     19 | K X           |         +9 | Potassium  | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |          [503.670(70)]                |            L11770
     19 | K XI          |        +10 | Potassium  | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |          [565.60(70)]                 |            L11770
     19 | K XII         |        +11 | Potassium  | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [631.00(90)]                 |            L11770
     19 | K XIII        |        +12 | Potassium  | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [714.71(50)]                 |            L11770
     19 | K XIV         |        +13 | Potassium  | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [786.26(30)]                 |            L11770
     19 | K XV          |        +14 | Potassium  | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [860.92(25)]                 |            L11770
     19 | K XVI         |        +15 | Potassium  | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [967.66(30)]                 |            L11770
     19 | K XVII        |        +16 | Potassium  | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |         (1034.5410(70))               |         L16264c99
     19 | K XVIII       |        +17 | Potassium  | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (4610.86998(12))              |             L8473
     19 | K XIX         |        +18 | Potassium  | H           | 1s                | 2S<1/2>      |                   |         (4934.04820(90))              |             L7188
     20 | Ca I          |          0 | Calcium    | Ca          | [Ar].4s2          | 1S0          | 4s 2S<1/2>        |             6.11315520(25)            |             L8900
     20 | Ca II         |         +1 | Calcium    | K           | [Ar].4s           | 2S<1/2>      | 3p6 1S<0>         |            11.8717180(40)             |       L7185,L7323
     20 | Ca III        |         +2 | Calcium    | Ar          | [Ne].3s2.3p6      | 1S0          | 3p5 2P*<3/2>      |            50.91315(25)               |             L1405
     20 | Ca IV         |         +3 | Calcium    | Cl          | [Ne].3s2.3p5      | 2P*<3/2>     | 3p4 3P<2>         |           [67.2732(21)]               |            L11770
     20 | Ca V          |         +4 | Calcium    | S           | [Ne].3s2.3p4      | 3P<2>        | 3p3 4S*<3/2>      |           [84.338(80)]                |            L11770
     20 | Ca VI         |         +5 | Calcium    | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |          [108.78(25)]                 |             L7185
     20 | Ca VII        |         +6 | Calcium    | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |          [127.20(25)]                 |             L7185
     20 | Ca VIII       |         +7 | Calcium    | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |           147.24(12)                  |             L7185
     20 | Ca IX         |         +8 | Calcium    | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |          [188.535(60)]                |             L7185
     20 | Ca X          |         +9 | Calcium    | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |          [211.2751(40)]               |            L11770
     20 | Ca XI         |        +10 | Calcium    | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |          [591.60(12)]                 |            L11770
     20 | Ca XII        |        +11 | Calcium    | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |          [658.24(90)]                 |            L11770
     20 | Ca XIII       |        +12 | Calcium    | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [728.6(11)]                  |            L11770
     20 | Ca XIV        |        +13 | Calcium    | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [817.22(60)]                 |            L11770
     20 | Ca XV         |        +14 | Calcium    | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [893.98(40)]                 |            L11770
     20 | Ca XVI        |        +15 | Calcium    | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [973.70(30)]                 |            L11770
     20 | Ca XVII       |        +16 | Calcium    | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |         [1086.80(40)]                 |            L11770
     20 | Ca XVIII      |        +17 | Calcium    | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |         (1157.7260(70))               |         L16264c99
     20 | Ca XIX        |        +18 | Calcium    | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (5128.85760(50))              |            L12128
     20 | Ca XX         |        +19 | Calcium    | H           | 1s                | 2S<1/2>      |                   |         (5469.8614(10))               |             L7188
     21 | Sc I          |          0 | Scandium   | Sc          | [Ar].3d.4s2       | 2D<3/2>      | 3d.4s 3D<1>       |             6.561490(60)              |       L7185,L2110
     21 | Sc II         |         +1 | Scandium   | Ca          | [Ar].3d.4s        | 3D<1>        | 3d 2D<3/2>        |            12.79977(25)               |       L7185,L5141
     21 | Sc III        |         +2 | Scandium   | K           | [Ar].3d           | 2D<3/2>      | 3p6 1S<0>         |            24.756838(12)              |       L1891,L7185
     21 | Sc IV         |         +3 | Scandium   | Ar          | [Ne].3s2.3p6      | 1S0          | 3p5 2P*<3/2>      |            73.48940(40)               |       L7185,L2826
     21 | Sc V          |         +4 | Scandium   | Cl          | [Ne].3s2.3p5      | 2P*<3/2>     | 3p4 3P<2>         |           [91.949(30)]                |            L11770
     21 | Sc VI         |         +5 | Scandium   | S           | [Ne].3s2.3p4      | 3P<2>        | 3p3 4S*<3/2>      |          [110.680(50)]                |             L7185
     21 | Sc VII        |         +6 | Scandium   | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |          [138.00(25)]                 |             L7185
     21 | Sc VIII       |         +7 | Scandium   | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |          [158.10(25)]                 |             L7185
     21 | Sc IX         |         +8 | Scandium   | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |           180.00(12)                  |             L7185
     21 | Sc X          |         +9 | Scandium   | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |          [225.180(50)]                |             L7185
     21 | Sc XI         |        +10 | Scandium   | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |          [249.7980(50)]               |            L10106
     21 | Sc XII        |        +11 | Scandium   | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |           687.36(12)                  |             L7185
     21 | Sc XIII       |        +12 | Scandium   | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |          [757.7(10)]                  |            L11770
     21 | Sc XIV        |        +13 | Scandium   | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [833.0(14)]                  |            L11770
     21 | Sc XV         |        +14 | Scandium   | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [926.48(70)]                 |            L11770
     21 | Sc XVI        |        +15 | Scandium   | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |         [1008.62(40)]                 |            L11770
     21 | Sc XVII       |        +16 | Scandium   | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |         [1093.48(40)]                 |            L11770
     21 | Sc XVIII      |        +17 | Scandium   | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |         [1213.10(40)]                 |            L11770
     21 | Sc XIX        |        +18 | Scandium   | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |         (1287.9560(70))               |         L16264c99
     21 | Sc XX         |        +19 | Scandium   | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (5674.90340(60))              |            L12128
     21 | Sc XXI        |        +20 | Scandium   | H           | 1s                | 2S<1/2>      |                   |         (6033.7540(12))               |             L7188
     22 | Ti I          |          0 | Titanium   | Ti          | [Ar].3d2.4s2      | 3F<2>        | 3d2.4s 4F<3/2>    |             6.828120(12)              |            L17996
     22 | Ti II         |         +1 | Titanium   | Sc          | [Ar].3d2.4s       | 4F<3/2>      | 3d2 3F<2>         |            13.5755(25)                |       L7185,L5432
     22 | Ti III        |         +2 | Titanium   | Ca          | [Ar].3d2          | 3F<2>        | 3d 2D<3/2>        |            27.49171(25)               |       L7185,L3593
     22 | Ti IV         |         +3 | Titanium   | K           | [Ar].3d           | 2D<3/2>      | 3p6 1S<0>         |            43.26717(19)               |       L7185,L2753
     22 | Ti V          |         +4 | Titanium   | Ar          | [Ne].3s2.3p6      | 1S0          | 3p5 2P*<3/2>      |            99.300(12)                 |             L7185
     22 | Ti VI         |         +5 | Titanium   | Cl          | [Ne].3s2.3p5      | 2P*<3/2>     | 3p4 3P<2>         |          [119.530(25)]                |             L7185
     22 | Ti VII        |         +6 | Titanium   | S           | [Ne].3s2.3p4      | 3P<2>        | 3p3 4S*<3/2>      |          [140.68(18)]                 |            L11770
     22 | Ti VIII       |         +7 | Titanium   | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |          [170.47(40)]                 |            L11770
     22 | Ti IX         |         +8 | Titanium   | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |          [192.10(40)]                 |             L7185
     22 | Ti X          |         +9 | Titanium   | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |           215.92(12)                  |             L7185
     22 | Ti XI         |        +10 | Titanium   | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |          [265.070(60)]                |             L7185
     22 | Ti XII        |        +11 | Titanium   | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |          [291.5004(50)]               |            L11770
     22 | Ti XIII       |        +12 | Titanium   | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |           787.700(40)                 |            L11691
     22 | Ti XIV        |        +13 | Titanium   | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |          [864.0(12)]                  |            L11770
     22 | Ti XV         |        +14 | Titanium   | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [944.5(16)]                  |            L11770
     22 | Ti XVI        |        +15 | Titanium   | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |         [1042.48(80)]                 |            L11770
     22 | Ti XVII       |        +16 | Titanium   | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |         [1130.20(50)]                 |            L11770
     22 | Ti XVIII      |        +17 | Titanium   | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |         [1220.30(50)]                 |            L11770
     22 | Ti XIX        |        +18 | Titanium   | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |         [1346.33(50)]                 |            L11770
     22 | Ti XX         |        +19 | Titanium   | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |         (1425.2570(70))               |         L16264c99
     22 | Ti XXI        |        +20 | Titanium   | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (6249.02230(60))              |            L12128
     22 | Ti XXII       |        +21 | Titanium   | H           | 1s                | 2S<1/2>      |                   |         (6625.8070(12))               |             L7188
     23 | V I           |          0 | Vanadium   | V           | [Ar].3d3.4s2      | 4F<3/2>      | 3d4 5D<0>         |             6.746187(21)              |            L17712
     23 | V II          |         +1 | Vanadium   | Ti          | [Ar].3d4          | 5D0          | 3d3 4F<3/2>       |            14.6200(40)                |            L10089
     23 | V III         |         +2 | Vanadium   | Sc          | [Ar].3d3          | 4F<3/2>      | 3d2 3F<2>         |            29.3110(25)                |  L7185,L704,L4746
     23 | V IV          |         +3 | Vanadium   | Ca          | [Ar].3d2          | 3F<2>        | 3d 2D<3/2>        |            46.7090(50)                |        L7185,L147
     23 | V V           |         +4 | Vanadium   | K           | [Ar].3d           | 2D<3/2>      | 3p6 1S<0>         |            65.28165(17)               |       L3917,L7185
     23 | V VI          |         +5 | Vanadium   | Ar          | [Ne].3s2.3p6      | 1S0          | 3p5 2P*<3/2>      |           128.130(25)                 |             L7185
     23 | V VII         |         +6 | Vanadium   | Cl          | [Ne].3s2.3p5      | 2P*<3/2>     | 3p4 3P<2>         |          [150.72(13)]                 |            L11770
     23 | V VIII        |         +7 | Vanadium   | S           | [Ne].3s2.3p4      | 3P<2>        | 3p3 4S*<3/2>      |          [173.55(21)]                 |            L11770
     23 | V IX          |         +8 | Vanadium   | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |          [205.96(40)]                 |            L11770
     23 | V X           |         +9 | Vanadium   | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |          [230.50(50)]                 |             L7185
     23 | V XI          |        +10 | Vanadium   | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |          [254.80(40)]                 |            L11770
     23 | V XII         |        +11 | Vanadium   | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |          [308.50(30)]                 |            L11770
     23 | V XIII        |        +12 | Vanadium   | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |          [336.2740(60)]               |            L11770
     23 | V XIV         |        +13 | Vanadium   | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |           896.00(40)                  |             L7185
     23 | V XV          |        +14 | Vanadium   | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |          [977.2(13)]                  |            L11770
     23 | V XVI         |        +15 | Vanadium   | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |         [1062.9(20)]                  |            L11770
     23 | V XVII        |        +16 | Vanadium   | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |         [1165.2(11)]                  |            L11770
     23 | V XVIII       |        +17 | Vanadium   | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |         [1258.86(60)]                 |            L11770
     23 | V XIX         |        +18 | Vanadium   | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |         [1354.17(50)]                 |            L11770
     23 | V XX          |        +19 | Vanadium   | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |         [1486.67(50)]                 |            L11770
     23 | V XXI         |        +20 | Vanadium   | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |         (1569.6560(70))               |         L16264c99
     23 | V XXII        |        +21 | Vanadium   | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (6851.31060(70))              |            L12128
     23 | V XXIII       |        +22 | Vanadium   | H           | 1s                | 2S<1/2>      |                   |         (7246.1220(12))               |             L7188
     24 | Cr I          |          0 | Chromium   | Cr          | [Ar].3d5.4s       | 7S<3>        | 3d5 6S<5/2>       |             6.76651                   |       L7185,L2832
     24 | Cr II         |         +1 | Chromium   | V           | [Ar].3d5          | 6S<5/2>      | 3d4 5D<0>         |            16.486305(15)              |            L18847
     24 | Cr III        |         +2 | Chromium   | Ti          | [Ar].3d4          | 5D0          | 3d3 4F<3/2>       |            30.960(25)                 |      L7185,L17500
     24 | Cr IV         |         +3 | Chromium   | Sc          | [Ar].3d3          | 4F<3/2>      | 3d2 3F<2>         |           [49.160(50)]                |       L7185,L5498
     24 | Cr V          |         +4 | Chromium   | Ca          | [Ar].3d2          | 3F<2>        | 3d 2D<3/2>        |            69.460(40)                 |       L1933,L7185
     24 | Cr VI         |         +5 | Chromium   | K           | [Ar].3d           | 2D<3/2>      | 3p6 1S<0>         |            90.63500(70)               |       L7185,L2229
     24 | Cr VII        |         +6 | Chromium   | Ar          | [Ne].3s2.3p6      | 1S0          | 3p5 2P*<3/2>      |          [160.290(60)]                |            L11770
     24 | Cr VIII       |         +7 | Chromium   | Cl          | [Ne].3s2.3p5      | 2P*<3/2>     | 3p4 3P<2>         |          [184.76(15)]                 |            L11770
     24 | Cr IX         |         +8 | Chromium   | S           | [Ne].3s2.3p4      | 3P<2>        | 3p3 4S*<3/2>      |          [209.54(25)]                 |            L11770
     24 | Cr X          |         +9 | Chromium   | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |          [244.52(50)]                 |            L11770
     24 | Cr XI         |        +10 | Chromium   | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |          [270.80(50)]                 |             L7185
     24 | Cr XII        |        +11 | Chromium   | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |          [296.74(60)]                 |            L11770
     24 | Cr XIII       |        +12 | Chromium   | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |          [354.66(30)]                 |            L11770
     24 | Cr XIV        |        +13 | Chromium   | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |          [384.1630(60)]               |            L11770
     24 | Cr XV         |        +14 | Chromium   | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |         [1011.62(50)]                 |            L11770
     24 | Cr XVI        |        +15 | Chromium   | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |         [1097.2(14)]                  |            L11770
     24 | Cr XVII       |        +16 | Chromium   | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |         [1188.0(21)]                  |         L11770c98
     24 | Cr XVIII      |        +17 | Chromium   | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |         [1294.8(16)]                  |            L11770
     24 | Cr XIX        |        +18 | Chromium   | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |         [1394.50(70)]                 |            L11770
     24 | Cr XX         |        +19 | Chromium   | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |         [1495.10(70)]                 |            L11770
     24 | Cr XXI        |        +20 | Chromium   | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |         [1634.00(50)]                 |            L11770
     24 | Cr XXII       |        +21 | Chromium   | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |         (1721.1830(70))               |         L16264c99
     24 | Cr XXIII      |        +22 | Chromium   | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (7481.86250(70))              |            L12128
     24 | Cr XXIV       |        +23 | Chromium   | H           | 1s                | 2S<1/2>      |                   |         (7894.7990(25))               |             L7188
     25 | Mn I          |          0 | Manganese  | Mn          | [Ar].3d5.4s2      | 6S<5/2>      | 3d5.4s 7S<3>      |             7.434018(12)              |       L4406,L7185
     25 | Mn II         |         +1 | Manganese  | Cr          | [Ar].3d5.4s       | 7S<3>        | 3d5 6S<5/2>       |            15.639990(70)              |        L7185,L562
     25 | Mn III        |         +2 | Manganese  | V           | [Ar].3d5          | 6S<5/2>      | 3d4 5D<0>         |            33.668(12)                 |        L7185,L457
     25 | Mn IV         |         +3 | Manganese  | Ti          | [Ar].3d4          | 5D0          | 3d3 4F<3/2>       |           [51.20(12)]                 |        L7185,L241
     25 | Mn V          |         +4 | Manganese  | Sc          | [Ar].3d3          | 4F<3/2>      | 3d2 3F<2>         |           [72.40(10)]                 |     L7185,L241c99
     25 | Mn VI         |         +5 | Manganese  | Ca          | [Ar].3d2          | 3F<2>        | 3d 2D<3/2>        |            95.600(25)                 |             L7185
     25 | Mn VII        |         +6 | Manganese  | K           | [Ar].3d           | 2D<3/2>      | 3p6 1S<0>         |           119.203(12)                 |       L7185,L5223
     25 | Mn VIII       |         +7 | Manganese  | Ar          | [Ne].3s2.3p6      | 1S0          | 3p5 2P*<3/2>      |          [195.47(30)]                 |            L11770
     25 | Mn IX         |         +8 | Manganese  | Cl          | [Ne].3s2.3p5      | 2P*<3/2>     | 3p4 3P<2>         |          [221.89(17)]                 |            L11770
     25 | Mn X          |         +9 | Manganese  | S           | [Ne].3s2.3p4      | 3P<2>        | 3p3 4S*<3/2>      |          [248.64(30)]                 |            L11770
     25 | Mn XI         |        +10 | Manganese  | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |          [286.14(50)]                 |            L11770
     25 | Mn XII        |        +11 | Manganese  | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |          [314.40(60)]                 |             L7185
     25 | Mn XIII       |        +12 | Manganese  | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |          [343.60(70)]                 |             L7185
     25 | Mn XIV        |        +13 | Manganese  | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |          [403.00(25)]                 |             L7185
     25 | Mn XV         |        +14 | Manganese  | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |          [435.1700(70)]               |            L11770
     25 | Mn XVI        |        +15 | Manganese  | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |         [1133.72(60)]                 |            L11770
     25 | Mn XVII       |        +16 | Manganese  | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |         [1224.1(15)]                  |            L11770
     25 | Mn XVIII      |        +17 | Manganese  | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |         [1320.3(25)]                  |            L11770
     25 | Mn XIX        |        +18 | Manganese  | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |         [1430.9(22)]                  |            L11770
     25 | Mn XX         |        +19 | Manganese  | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |         [1537.22(80)]                 |            L11770
     25 | Mn XXI        |        +20 | Manganese  | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |         [1643.21(70)]                 |            L11770
     25 | Mn XXII       |        +21 | Manganese  | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |         [1788.70(60)]                 |            L11770
     25 | Mn XXIII      |        +22 | Manganese  | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |         (1879.8700(70))               |         L16264c99
     25 | Mn XXIV       |        +23 | Manganese  | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (8140.7869(10))               |            L12128
     25 | Mn XXV        |        +24 | Manganese  | H           | 1s                | 2S<1/2>      |                   |         (8571.9480(25))               |             L7188
     26 | Fe I          |          0 | Iron       | Fe          | [Ar].3d6.4s2      | 5D<4>        | 3d6.4s 6D<9/2>    |             7.9024678(12)             |         L7743c109
     26 | Fe II         |         +1 | Iron       | Mn          | [Ar].3d6.4s       | 6D<9/2>      | 3d6 5D<4>         |            16.199200(50)              |            L18349
     26 | Fe III        |         +2 | Iron       | Cr          | [Ar].3d6          | 5D<4>        | 3d5 6S<5/2>       |            30.651(12)                 |       L7185,L1171
     26 | Fe IV         |         +3 | Iron       | V           | [Ar].3d5          | 6S<5/2>      | 3d4 5D<0>         |            54.910(40)                 |            L17209
     26 | Fe V          |         +4 | Iron       | Ti          | [Ar].3d4          | 5D0          | 3d3 4F<3/2>       |           [75.00(15)]                 |        L7185,L241
     26 | Fe VI         |         +5 | Iron       | Sc          | [Ar].3d3          | 4F<3/2>      | 3d2 3F<2>         |            98.985(15)                 |            L17209
     26 | Fe VII        |         +6 | Iron       | Ca          | [Ar].3d2          | 3F<2>        | 3d 2D<3/2>        |           125.000(12)                 |       L7185,L5267
     26 | Fe VIII       |         +7 | Iron       | K           | [Ar].3d           | 2D<3/2>      | 3p6 1S<0>         |           151.060(12)                 |             L7185
     26 | Fe IX         |         +8 | Iron       | Ar          | [Ne].3s2.3p6      | 1S0          | 3p5 2P*<3/2>      |          [233.60(40)]                 |             L7185
     26 | Fe X          |         +9 | Iron       | Cl          | [Ne].3s2.3p5      | 2P*<3/2>     | 3p4 3P<2>         |          [262.10(12)]                 |             L7185
     26 | Fe XI         |        +10 | Iron       | S           | [Ne].3s2.3p4      | 3P<2>        | 3p3 4S*<3/2>      |          [290.90(40)]                 |            L11770
     26 | Fe XII        |        +11 | Iron       | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |          [330.81(60)]                 |            L11770
     26 | Fe XIII       |        +12 | Iron       | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |          [361.00(70)]                 |             L7185
     26 | Fe XIV        |        +13 | Iron       | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |          [392.20(70)]                 |             L7185
     26 | Fe XV         |        +14 | Iron       | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |           456.20(50)                  |            L17943
     26 | Fe XVI        |        +15 | Iron       | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |          [489.312(14)]                |            L11770
     26 | Fe XVII       |        +16 | Iron       | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |         [1262.70(70)]                 |            L11770
     26 | Fe XVIII      |        +17 | Iron       | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |         [1357.8(19)]                  |            L11770
     26 | Fe XIX        |        +18 | Iron       | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |         [1460(3)]                     |            L11770
     26 | Fe XX         |        +19 | Iron       | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          1575.60(50)                  |             L7185
     26 | Fe XXI        |        +20 | Iron       | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |         [1687.0(10)]                  |            L11770
     26 | Fe XXII       |        +21 | Iron       | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |         [1798.43(80)]                 |            L11770
     26 | Fe XXIII      |        +22 | Iron       | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |         [1950.4(18)]                  |            L11770
     26 | Fe XXIV       |        +23 | Iron       | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |         (2045.7590(70))               |         L16264c99
     26 | Fe XXV        |        +24 | Iron       | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (8828.1875(11))               |            L12128
     26 | Fe XXVI       |        +25 | Iron       | H           | 1s                | 2S<1/2>      |                   |         (9277.6810(25))               |             L7188
     27 | Co I          |          0 | Cobalt     | Co          | [Ar].3d7.4s2      | 4F<9/2>      | 3d8 3F<4>         |             7.88101(12)               |            L10545
     27 | Co II         |         +1 | Cobalt     | Fe          | [Ar].3d8          | 3F<4>        | 3d7 4F<9/2>       |            17.0844(12)                |       L7185,L2115
     27 | Co III        |         +2 | Cobalt     | Mn          | [Ar].3d7          | 4F<9/2>      | 3d6 5D<4>         |           [33.500(60)]                |      L7185,L17500
     27 | Co IV         |         +3 | Cobalt     | Cr          | [Ar].3d6          | 5D<4>        | 3d5 6S<5/2>       |           [51.27(10)]                 |        L7185,L241
     27 | Co V          |         +4 | Cobalt     | V           | [Ar].3d5          | 6S<5/2>      | 3d4 5D<0>         |           [79.50(20)]                 |        L7185,L241
     27 | Co VI         |         +5 | Cobalt     | Ti          | [Ar].3d4          | 5D0          | 3d3 4F<3/2>       |          [102.00(20)]                 |        L7185,L241
     27 | Co VII        |         +6 | Cobalt     | Sc          | [Ar].3d3          | 4F<3/2>      | 3d2 3F<2>         |          [129.00(50)]                 |     L7185,L241c99
     27 | Co VIII       |         +7 | Cobalt     | Ca          | [Ar].3d2          | 3F<2>        | 3d 2D<3/2>        |          [157.80(60)]                 |             L7185
     27 | Co IX         |         +8 | Cobalt     | K           | [Ar].3d           | 2D<3/2>      | 3p6 1S<0>         |           186.14(25)                  |             L7185
     27 | Co X          |         +9 | Cobalt     | Ar          | [Ne].3s2.3p6      | 1S0          | 3p5 2P*<3/2>      |          [275.40(40)]                 |             L7185
