#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#At. num| Sp. Name      | Ion Charge | El. Name   | Isoel. Seq. | Ground Shells (a) | Ground Level | Ionized Level     |      Ionization Energy (b) (eV)       | References
#-------|---------------|------------|------------|-------------|-------------------|--------------|-------------------|---------------------------------------|-------------------
      9 | F VIII        |         +7 | Fluorine   | He          | 1s2               | 1S0          | 1s 2S<1/2>        |          [953.89800(10)]              |            L10054
      9 | F IX          |         +8 | Fluorine   | H           | 1s                | 2S<1/2>      |                   |         (1103.117430(50))             |             L7188
     10 | Ne I          |          0 | Neon       | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |            21.5645400(70)             |       L8826,L1407
     10 | Ne II         |         +1 | Neon       | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |            40.962960(40)              |             L9088
     10 | Ne III        |         +2 | Neon       | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |            63.42331(30)               |             L9091
     10 | Ne IV         |         +3 | Neon       | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2s2.2p2 3P<0>     |           [97.1900(25)]               |            L11782
     10 | Ne V          |         +4 | Neon       | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |           126.247(12)                 |            L11744
     10 | Ne VI         |         +5 | Neon       | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |           157.9340(50)                |             L9340
     10 | Ne VII        |         +6 | Neon       | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |           207.271(12)                 |             L9089
     10 | Ne VIII       |         +7 | Neon       | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          [239.0969(19)]               |             L9090
     10 | Ne IX         |         +8 | Neon       | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         [1195.80779(15)]              |            L10054
     10 | Ne X          |         +9 | Neon       | H           | 1s                | 2S<1/2>      |                   |         (1362.199100(90))             |             L7188
     11 | Na I          |          0 | Sodium     | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |             5.13907670(25)            |      L10921,L9648
     11 | Na II         |         +1 | Sodium     | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |            47.28636(25)               |              L914
     11 | Na III        |         +2 | Sodium     | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |           [71.6200(12)]               |       L5793,L2720
     11 | Na IV         |         +3 | Sodium     | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |           [98.936(12)]                |            L11770
     11 | Na V          |         +4 | Sodium     | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |           138.400(12)                 |             L7482
     11 | Na VI         |         +5 | Sodium     | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [172.228(50)]                |            L11770
     11 | Na VII        |         +6 | Sodium     | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [208.500(12)]                |            L11770
