# temp h_1 he_1 he_2 c_1 c_2 c_3 n_1 n_2 n_3 n_4 o_1 o_2 o_3 o_4 o_5
1.115539506987296980e-01 2.173485407855294952e-62 9.536200907910114433e-106 2.676626438349574539e-222 6.396806498824009205e-53 1.305190403406293178e-104 2.125449062406037072e-196 7.423478634700925251e-66 1.366858896443486001e-124 2.172981655430960857e-194 5.363763288947473262e-312 1.867841859634529965e-62 1.806566589329444387e-146 1.487190425589523191e-223 2.478086065657865176e-311 0.000000000000000000e+00
1.120693769538593371e-01 3.816348321621395361e-62 2.634196948058160643e-105 2.529015923486380306e-221 1.020014028557043224e-52 3.575429930629312872e-104 1.534249572248898666e-195 1.354756088980934576e-65 4.642272333816009608e-124 1.540393465002528632e-193 1.311166051977221567e-310 3.282203862912280792e-62 7.702865598726552365e-146 1.435493063810739576e-222 6.042542829500086773e-310 0.000000000000000000e+00
1.125871846954610012e-01 6.683740347095263733e-62 7.242634107463589503e-105 2.365016074107176823e-220 1.623012839355194770e-52 9.749336508591907121e-104 1.097482999755242065e-194 2.465573683129246947e-65 1.567833395752553622e-123 1.082180901554750693e-192 3.158391022039581259e-309 5.752671087577199544e-62 3.262563064759267255e-145 1.371234314138393364e-221 1.451938062588359212e-308 0.000000000000000000e+00
1.131073849270053805e-01 1.167552908086937320e-61 1.982118498552908859e-104 2.189051467349591400e-219 2.577002920842223965e-52 2.646204940891135486e-103 7.779903508712347968e-194 4.474902636702733673e-65 5.265538404293775822e-123 7.534919616715601400e-192 7.497622094158034486e-308 1.005674031271814304e-61 1.372736115168314209e-144 1.296340560885933359e-220 3.438197056813625175e-307 0.000000000000000000e+00
1.136299887028043298e-01 2.034342784904439802e-61 5.399539463915846815e-104 2.005569452642159211e-218 4.083092852943556742e-52 7.149615895761175567e-103 5.465668547101850738e-193 8.099596896179843368e-65 1.758613467833467445e-122 5.199790312186652663e-191 1.754122237346662394e-306 1.753613025054818630e-61 5.737860597290780842e-144 1.212953411585819759e-219 8.024111285383324459e-306 0.000000000000000000e+00
1.141550071282449175e-01 3.535634493353026506e-61 1.464155110569453335e-103 1.818861870259048072e-217 6.455787369041401135e-52 1.922923094706197072e-102 3.805598913291990524e-192 1.462052219874991120e-64 5.841089345081547052e-122 3.556634948540090750e-190 4.044863702876150743e-305 3.050030864252011201e-61 2.382653521225849820e-143 1.123329901973062224e-218 1.845761902862030476e-304 0.000000000000000000e+00
1.146824513600257500e-01 6.129306472504465373e-61 3.952118005844856552e-103 1.632910332875781568e-216 1.018589047362573255e-51 5.148375321879446566e-102 2.626220987030968083e-191 2.632009530873048346e-64 1.929408577970856879e-121 2.411330451675604687e-189 9.193578729364873966e-304 5.291438310102145164e-61 9.829532850151408179e-143 1.029743899668570615e-217 4.185004068101450337e-303 0.000000000000000000e+00
1.152123326063944631e-01 1.059890779497470925e-60 1.061926136877822422e-102 1.451261904408164654e-215 1.603772624387834440e-51 1.372197523247224571e-101 1.796328898214700000e-190 4.725442999177250589e-64 6.338295287361484009e-121 1.620525203325410184e-188 2.059827172023371987e-302 9.156876047937588330e-61 4.028830594025330032e-142 9.343944952184929039e-217 9.353762683161225200e-302 0.000000000000000000e+00
1.157446621273850729e-01 1.828191670434602041e-60 2.840464772911811193e-102 1.276939240587148946e-214 2.519908478525752771e-51 3.640912438473314602e-101 1.217880018429389723e-189 8.461229556749533796e-64 2.070854538212203357e-120 1.079578010661418481e-187 4.549578005172439283e-301 1.580629446836360032e-60 1.640636141597792262e-141 8.393262034982704157e-216 2.060989204371239059e-300 0.000000000000000000e+00
1.162794512350581178e-01 3.145561513621981940e-60 7.563525140967313160e-102 1.112386472508033083e-213 3.951200481256449660e-51 9.617451265435215846e-101 8.184739385449431771e-189 1.511004157353285850e-63 6.729247283070875754e-120 7.129661840022751167e-187 9.906816982268537285e-300 2.721616652172501929e-60 6.638127965604818132e-141 7.463645409587713801e-215 4.477055863631759796e-299 0.000000000000000000e+00
1.168167112937403135e-01 5.398778016101318539e-60 2.004969954412791381e-101 9.594495600605260284e-213 6.182723441209350958e-51 2.529151546229962993e-100 5.452610410438281910e-188 2.691190266336821182e-63 2.174873513690778263e-119 4.667860781182399100e-186 2.126905852295787438e-298 4.674584171697474472e-60 2.668651863507710399e-140 6.570691333471480554e-214 9.588819091571260779e-298 0.000000000000000000e+00
1.173564537202663044e-01 9.243119214501338327e-60 5.291139664536285440e-101 8.193877078820729939e-212 9.654752430435629321e-51 6.621611739824431548e-100 3.600980955705861649e-187 4.780518637662153390e-63 6.991380654988081378e-119 3.029829842806753008e-185 4.502376142210873249e-297 8.009089215957514563e-60 1.066016676571856474e-139 5.727050836263116054e-213 2.024984995254850578e-296 0.000000000000000000e+00
1.178986899842216912e-01 1.578601003807240501e-59 1.390135897940310813e-100 6.929108485162416634e-211 1.504586366106646060e-50 1.725978702882538506e-99 2.357606518945169401e-186 8.469597611427199427e-63 2.235445445490450510e-118 1.949787152885234182e-184 9.398159567951718104e-296 1.368838914566466549e-59 4.231307721780887663e-139 4.942320157042579336e-212 4.216874681681346508e-295 0.000000000000000000e+00
1.184434316081859756e-01 2.689439936692406936e-59 3.636142220569837542e-100 5.802372132280314013e-210 2.339978321646496859e-50 4.479183287709834746e-99 1.530288398396624086e-185 1.496624829254384896e-62 7.109647874948372259e-118 1.244061792799216374e-183 1.934547540171542638e-294 2.333756522502428367e-59 1.668923610235145803e-138 4.223091055808699672e-211 8.659638828614233714e-294 0.000000000000000000e+00
1.189906901679782386e-01 4.570796383824560520e-59 9.469104006212299193e-100 4.811646228860514774e-209 3.631861946084890935e-50 1.157344617105819989e-98 9.847907278325964255e-185 2.637732519455901292e-62 2.249187457003903564e-117 7.870450005678295082e-183 3.927167658747433841e-293 3.969151158555163436e-59 6.541271663768040267e-138 3.573135840548697962e-210 1.753787346441397752e-292 0.000000000000000000e+00
